,檢索類別,問題類別,問題,答案,備註,參考,context,標題1,simple_context
0,每日筆記,列出問題,如何設定Obsidian同步?,"1. 使用git clone指令下載筆記至本地。
2. 在Obsidian中開啟vault。
3. 確保obsidian-git插件已自動安裝並完成設定。
4. 若遇到推送問題，考慮重置ssh-key密碼或使用ssh-add來管理ssh密鑰。",,['每日筆記/2023-07-24'],"# 新增宿舍的筆記同步
1. 參考[[Git指令]]，新增ssh key
2. 使用ssh -T測試OK
3. 用[[git clone]]將整份筆記下載
4. 在Obsidian中開啟vault
5. [[obsidian-git]]已自動安裝完成，設定也同步完成(只有快捷鍵不知道為甚麼變成commit)
6. 但[[obsidian-git]]無法push，報錯無法連線到Obsidian sync.git，但[[Source tree]]可以，推測是ssh-key的密碼問題
7. 使用以下指令重製ssh-key密碼為空
```
   ssh-keygen -p -f github_key
```
8. 重製為空後即可正常使用
註: 使用ssh-add等[[ssh agent]]功能應該也能解決，但由於ssh-add指令用錯參數導致實驗失敗，就直接將密碼重製了。",新增宿舍的筆記同步,"# 新增宿舍的筆記同步
1. 參考[[Git指令]]，新增ssh key
2. 使用ssh -T測試OK
3. 用[[git clone]]將整份筆記下載
4. 在Obsidian中開啟vault
5. [[obsidian-git]]已自動安裝完成，設定也同步完成(只有快捷鍵不知道為甚麼變成commit)
6. 但[[obsidian-git]]無法push，報錯無法連線到Obsidian sync.git，但[[Source tree]]可以，推測是ssh-key的密碼問題"
1,每日筆記,簡單問題,Ontology是什麼?,"
Ontology是一種用於特定範圍內精確定義術語含義的正式表示形式，有助於資料的互操作性和自動化推理。",翻譯及統整,['每日筆記/2023-08-03'],"# 1. 釐清知識本體和知識圖譜的差別
關鍵字：[[ontology]] [[knowledge graph]]

>In computing, an ontology is then a concrete, formal representation—a convention—on what terms mean within the scope in which they are used (e.g., a given domain). Like all conventions, the usefulness of an ontology depends on how broadly and consistently it is adopted and how detailed it is. Knowledge graphs that use a shared ontology will be more interoperable. Given that ontologies are formal representations, they can further be used to automate entailment. Among the most popular ontology languages used in practice are the Web Ontology Language (OWL) [52], recommended by the W3C and compatible with RDF graphs; and the Open Biomedical Ontologies Format (OBOF) [89], used mostly in the biomedical domain. Since OWL is the more widely adopted, we focus on its features, though many similar features are found in both [89]. Before introducing such features, however, we must discuss how graphs are to be interpreted.

",1. 釐清知識本體和知識圖譜的差別,"In computing, an ontology is then a concrete, formal representation—a convention—on what terms mean within the scope in which they are used (e.g., a given domain). Like all conventions, the usefulness of an ontology depends on how broadly and consistently it is adopted and how detailed it is. Knowledge graphs that use a shared ontology will be more interoperable. Given that ontologies are formal representations, they can further be used to automate entailment. Among the most popular ontology languages used in practice are the Web Ontology Language (OWL) [52],"
2,每日筆記,事實問題,llama支援中文嗎?,不佳，需使用中文資料集微調。,,['每日筆記/2023-08-07'],"# 2. 測試[[LLaMA2]]
中文支援不佳，嘗試使用中文微調專案[[Chinese-LLaMA-Alpaca-2]]
及webui專案[[text-generation-webui]]
設定參考[https://github.com/ymcui/Chinese-LLaMA-Alpaca-2/wiki/text-generation-webui_zh](https://github.com/ymcui/Chinese-LLaMA-Alpaca-2/wiki/text-generation-webui_zh)
- 須解決簡體中文的問題

",2. 測試[[LLaMA2]],"# 2. 測試[[LLaMA2]]
中文支援不佳"
3,每日筆記,簡單問題,在mysql中如何將多張表合併?,JOIN,,['每日筆記/2023-08-14'],"# [[MySQL]]三表[[join]]
``` mysql
SELECT A.id as `標準症狀ID`, A.standard_symptoms as `標準症狀`, C.id as `原始症狀ID`, C.original_symptoms as `原始症狀` FROM `standard_symptoms_table` as A RIGHT JOIN `symptoms_mapping_table` as B on A.id = B.standard_symptoms_ID left join `original_symptoms_table` as C on B.original_symptoms_ID = C.id;
```

",[[MySQL]]三表[[join]],"# [[MySQL]]三表[[join]]
``` mysql
SELECT A.id as `標準症狀ID`, A.standard_symptoms as `標準症狀`, C.id as `原始症狀ID`, C.original_symptoms as `原始症狀` FROM `standard_symptoms_table` as A RIGHT JOIN `symptoms_mapping_table` as B on A.id = B.standard_symptoms_ID left join `original_symptoms_table` as C on B.original_symptoms_ID = C.id;
```

"
4,每日筆記,簡單問題,如何將mysql的表匯出?,INTO OUTFILE,,['每日筆記/2023-08-14'],"# [[MySQL]]匯出檔案
參考:https://stackoverflow.com/questions/4018123/export-a-mysql-table-via-join
``` mysql
mysql> SELECT A.id as `標準症狀ID`, A.standard_symptoms as `標準症狀`, C.id as `原始症狀ID`, C.original_symptoms as `原始症狀` INTO OUTFILE '/home/zeus/result.csv' FROM `standard_symptoms_table` as A RIG
HT JOIN `symptoms_mapping_table` as B on A.id = B.standard_symptoms_ID left join `original_symptoms_table` as C on B.original_symptoms_ID = C.id;
ERROR 1290 (HY000): The MySQL server is running with the --secure-file-priv option so it cannot execute this statement
```",[[MySQL]]匯出檔案,"# [[MySQL]]匯出檔案
``` mysql
mysql> SELECT A.id as `標準症狀ID`, A.standard_symptoms as `標準症狀`, C.id as `原始症狀ID`, C.original_symptoms as `原始症狀` INTO OUTFILE '/home/zeus/result.csv' FROM `standard_symptoms_table` as A RIG
HT JOIN `symptoms_mapping_table` as B on A.id = B.standard_symptoms_ID left join `original_symptoms_table` as C on B.original_symptoms_ID = C.id;
```"
5,每日筆記,簡單問題,什麼時候安裝了obsidian的引用外掛?,2023-08-30 00:00:00,,['每日筆記/2023-08-30'],"# 1. 幫宿舍電腦安裝引用套件[[obsidian-citation-plugin]]
步驟如[[Github project/obsidian-citation-plugin|obsidian-citation-plugin]]中所寫",1. 幫宿舍電腦安裝引用套件[[obsidian-citation-plugin]],"每日筆記/2023-08-30
# 1. 幫宿舍電腦安裝引用套件[[obsidian-citation-plugin]]"
6,每日筆記,簡單問題,怎麼選擇端口的?,參考IANA，選擇沒人佔用的27709,涉及翻譯,['每日筆記/2023-09-20'],"# 4. 如何選擇port?
參考[^2] ，選擇沒人佔用的27709

[^1]: https://stackoverflow.com/questions/42631509/piping-node-js-to-python
[^2]: https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml?search=27709

",4. 如何選擇port?,"# 4. 如何選擇port?
參考IANA ，選擇沒人佔用的27709"
7,每日筆記,簡單問題,如何解決論文標題中的冒號問題?,換成-符號,1=2,['每日筆記/2023-09-21' '每日筆記/2023-12-21'],"# 4. 考量windows檔案名稱問題
https://stackoverflow.com/questions/10386344/how-to-get-a-file-in-windows-with-a-colon-in-the-filename
想辦法讓windows檔案名稱能支援論文標題。
[Automatically convert colons in {{title}} to other symbols, such as ""-""](https://github.com/hans/obsidian-citation-plugin/issues/89)
#研究/feature",4. 考量windows檔案名稱問題,"想辦法讓windows檔案名稱能支援論文標題。
[Automatically convert colons in {{title}} to other symbols, such as ""-""]"
8,每日筆記,列出問題,哪些因素可能會影響語音識別的準確度?,降噪、聲道、取樣率、語速、bit率,,['每日筆記/2023-09-22'],"# 3. 除了降噪外其他可能影響語音識別的因素
#靈感/語音識別
1. 聲道
2. 取樣率
3. 語速
4. bit率
",3. 除了降噪外其他可能影響語音識別的因素,"# 3. 除了降噪外其他可能影響語音識別的因素
1. 聲道
2. 取樣率
3. 語速
4. bit率"
9,每日筆記,,如何微調whisper?,參考Whisper-Finetune#0924實驗筆記,,['每日筆記/2023-09-25' '每日筆記/2023-10-05'],"# 1. [[Whisper-Finetune]]
根據範例提供的簡體中文資料集做微調
[@buAISHELL1OpenSourceMandarin2017]
記錄在[[Whisper-Finetune#0924實驗]]
然而合併Lora檔後跑出來的模型格式不一樣，不知道能不能直接用。
- [ ] 模型格式問題(@2023-10-20)


",1. [[Whisper-Finetune]],"# 1. [[Whisper-Finetune]]
根據範例提供的簡體中文資料集做微調
[@buAISHELL1OpenSourceMandarin2017]
記錄在[[Whisper-Finetune#0924實驗]]"
10,每日筆記,簡單問題,如何解決protégé中的顯示問題?,下載zip檔，修改dot.exe的路徑設定,,['每日筆記/2023-10-02'],"# 4. 修復protege中的 [[OwlViz]] 全部擠在左上角的問題
到 https://graphviz.org/download/ 下載zip檔，修改dot.exe的路徑設定",4. 修復protege中的 [[OwlViz]] 全部擠在左上角的問題,"# 4. 修復protege中的 [[OwlViz]] 全部擠在左上角的問題
到 https://graphviz.org/download/ 下載zip檔，修改dot.exe的路徑設定"
11,每日筆記,簡單問題,為甚麼系統要使用多執行緒?,避免資料庫IO讓websocket停下來。,,['每日筆記/2023-12-23'],"# 2. 在做資料庫IO的時候好像會讓websocket也暫時停下來，應該是單執行緒的問題
- 可能可以考慮讓DB那部分用另一個執行緒處理",2. 在做資料庫IO的時候好像會讓websocket也暫時停下來，應該是單執行緒的問題,"# 2. 在做資料庫IO的時候好像會讓websocket也暫時停下來，應該是單執行緒的問題
- 可能可以考慮讓DB那部分用另一個執行緒處理"
12,每日筆記,事實問題,service worker幾秒後會自動關閉?,30秒,,['每日筆記/2023-12-25'],"# 3. 根據chrome extensione官方說明，30秒會自動將service worker關閉，因此採用25秒一次的心跳來解決這個問題[^1]
- 之後如果確認後端不會主動傳訊息給SW，則可以考慮改為http ( 只要修改send函數應該就行了 )


",3. 根據chrome extensione官方說明，30秒會自動將service worker關閉，因此採用25秒一次的心跳來解決這個問題[^1],根據chrome extensione官方說明，30秒會自動將service worker關閉
13,每日筆記,事實問題,為什麼chrome-extension不能在html中直接呼叫javascript函數,因為chrome-extension不允許CSP,,['每日筆記/2023-12-28'],"# 9. 關於chrome-extension中不允許在html中直接呼叫javascript函數
- 因為chrome-extension不允許CSP
- 但好像可以用[這個](https://stackoverflow.com/questions/72186787/chrome-extensions-and-csp)允許特定網站的CSP?

",9. 關於chrome-extension中不允許在html中直接呼叫javascript函數,關於chrome-extension中不允許在html中直接呼叫javascript函數 – 因為chrome-extension不允許CSP
14,每日筆記,事實問題,ChatGPT的溫度設為多少最恰當?,0度,,['每日筆記/2024-03-13'],"# 4. 閱讀論文
- 在這篇[^4] 論文中提到，實驗中為了在最小化幻覺和嚴格生成之間取得平衡，將ChatGPT的溫度設為0，llama的溫度設為0.1，但論文中未提及更詳細的理由

",4. 閱讀論文,在這篇[^4] 論文中提到，實驗中為了在最小化幻覺和嚴格生成之間取得平衡，將ChatGPT的溫度設為0
15,每日筆記,簡單問題,嵌入有可能遇到什麼問題?,markdown語意、顯卡負擔,,['每日筆記/2024-03-15'],"# 4. 嵌入模型真的能理解markdown的語意嗎?
- 顯卡撐不住LLM + 向量化 + FAISS",4. 嵌入模型真的能理解markdown的語意嗎?,"# 4. 嵌入模型真的能理解markdown的語意嗎?
- 顯卡撐不住LLM + 向量化 + FAISS"
16,每日筆記,簡單問題,有哪些方法可以解決語音辨識的幻聽問題,加上參數--condition_on_previous_text False,,['每日筆記/2023-09-16'],"# 1. [[Whisper]]
嘗試解決幻覺問題
https://github.com/openai/whisper/discussions/679
加上參數--condition_on_previous_text False

## 評估方式?
根據不同面向，例如冗字、專有名詞，其他錯誤等

又加了一堆論文哈哈",1. [[Whisper]],"# 1. [[Whisper]]
嘗試解決幻覺問題
https://github.com/openai/whisper/discussions/679
加上參數--condition_on_previous_text False

## 評估方式?
根據不同面向，例如冗字、專有名詞，其他錯誤等

又加了一堆論文哈哈"
17,每日筆記,簡單問題,語音辨識可以有哪些評估的方向,冗字、專有名詞，其他錯誤等,,['每日筆記/2023-09-16'],"# 1. [[Whisper]]
嘗試解決幻覺問題
https://github.com/openai/whisper/discussions/679
加上參數--condition_on_previous_text False

##  評估方式?
根據不同面向，例如冗字、專有名詞，其他錯誤等

又加了一堆論文哈哈",1. [[Whisper]],"# 1. [[Whisper]]
嘗試解決幻覺問題
https://github.com/openai/whisper/discussions/679
加上參數--condition_on_previous_text False

## 評估方式?
根據不同面向，例如冗字、專有名詞，其他錯誤等

又加了一堆論文哈哈"
18,每日筆記,簡單問題,為什麼瀏覽器插件不使用pipe?,javascript無法操作作業系統層級的pipe,,['每日筆記/2023-09-20'],"# 3. 關於瀏覽器插件的溝通方式選擇
pipe or websocket
選擇websocket，因為javascript無法操作作業系統層級的pipe
查不太到實際說明，但參考[^1] ，看起來必須通過node.js才能使JS使用OS層級的pipe
理論上也確實如此，否則瀏覽器插件的權限很容易太大



",3. 關於瀏覽器插件的溝通方式選擇,"# 3. 關於瀏覽器插件的溝通方式選擇
pipe or websocket
選擇websocket，因為javascript無法操作作業系統層級的pipe
查不太到實際說明，但參考[^1] ，看起來必須通過node.js才能使JS使用OS層級的pipe
理論上也確實如此，否則瀏覽器插件的權限很容易太大"
19,每日筆記,簡單問題,什麼是OpenCitations,一種學術知識圖譜,,['每日筆記/2024-01-21'],"## 學術知識圖譜
- Microsoft KG
	- 最大的免費學術數據集(2.6E)
	- 已停用，改為OpenAlex
- OpenAIRE
- OpenAlex
- AMiner
- Open Research KG (ORKG)
	- 10K篇包含方法、資料集、評估方法
- Artificial Intelligence KG(AI-KG)
- SciGraph
- ScholarlyData
- PID Graph
- OpenCitations
- AIDA = 2500W MAG + 800W Dimensions(專利)
	- 改用OpenAlex + DBLP
	- 選擇的理由: 包含研究領域的複雜表示[74]
- Scopus
	- 常用的影響力指標
	- 不如MAG全面[68]",相關研究,"## 學術知識圖譜
- Microsoft KG
	- 最大的免費學術數據集(2.6E)
	- 已停用，改為OpenAlex
- OpenAIRE
- OpenAlex
- AMiner
- Open Research KG (ORKG)
	- 10K篇包含方法、資料集、評估方法
- Artificial Intelligence KG(AI-KG)
- SciGraph
- ScholarlyData
- PID Graph
- OpenCitations
- AIDA = 2500W MAG + 800W Dimensions(專利)
	- 改用OpenAlex + DBLP
	- 選擇的理由: 包含研究領域的複雜表示[74]
- Scopus
	- 常用的影響力指標
	- 不如MAG全面[68]"
20,每日筆記,簡單問題,我參考了哪個教學將pytorch更新到pytorch2?,https://home.gamer.com.tw/artwork.php?sn=5701595,涉及markdown引用,['每日筆記/2023-09-30'],"# 3. 將宿舍電腦的 StableDiffusion 虛擬環境中的 [[pytorch]] 更新到pytorch2[^1]
1. 切換到虛擬環境
   `.\envs\scripts\activate.bat`
2. 檢查pip路徑
   `pip --version`
3. 參考[官網](https://pytorch.org/get-started/locally/)訊息，CUDA11.8
   `pip install torch torchvision torchaudio --index-url https://download.pytorch.org/whl/cu118`
4. 結果
	```
	Installing collected packages: mpmath, sympy, torch, torchvision, torchaudio
  Attempting uninstall: torch
    Found existing installation: torch 1.13.1+cu117
    Uninstalling torch-1.13.1+cu117:
      Successfully uninstalled torch-1.13.1+cu117
	  Attempting uninstall: torchvision
    Found existing installation: torchvision 0.14.1+cu117
    Uninstalling torchvision-0.14.1+cu117:
      Successfully uninstalled torchvision-0.14.1+cu117
	ERROR: pip's dependency resolver does not currently take into account all the packages that are installed. This behaviour is the source of the following dependency conflicts.
	xformers 0.0.20 requires pyre-extensions==0.0.29, which is not installed.
	Successfully installed mpmath-1.3.0 sympy-1.12 torch-2.0.1+cu118 torchaudio-2.0.2+cu118 torchvision-0.15.2+cu118
	```
5. 直接解除安裝xformers，若需要之後再裝
6. 測試
7. 似乎沒問題


